,_id,index_price,strike,interest_rate,maturity,is_call,tau,mark_iv,date,moneyness,instrument_name,days_to_maturity,maturitydate_char,timestamp,underlying_price,instrument_price
4,60654bb12d18247a410b5f4e,59127.69,72000.0,1.02537065,2APR21,0,0.0027,101.22,2021-04-01 06:27:28.618,1.22,BTC-2APR21-72000-P,1,2021-04-02,1617251248618,59379.34,0.0
6,60654bb12d18247a410b5f4f,59127.09,68000.0,1.02537065,25JUN21,0,0.2329,81.13,2021-04-01 06:27:29.624,1.15,BTC-25JUN21-68000-P,85,2021-06-25,1617251249624,63338.23,12667.646
10,60654bb22d18247a410b5f52,59126.57,48000.0,1.02537065,31DEC21,0,0.7507,80.92,2021-04-01 06:27:30.633,0.81,BTC-31DEC21-48000-P,274,2021-12-31,1617251250633,70150.7,7102.758374999999
13,60654bb42d18247a410b5f56,59129.65,56000.0,1.02537065,9APR21,0,0.0219,71.94,2021-04-01 06:27:32.642,0.95,BTC-9APR21-56000-P,8,2021-04-09,1617251252642,59965.81,989.4358649999999
19,60654bb62d18247a410b5f5b,59130.19,50000.0,1.02537065,25JUN21,1,0.2329,79.87,2021-04-01 06:27:34.662,0.85,BTC-25JUN21-50000-C,85,2021-06-25,1617251254662,63340.74,16943.64795
20,60654bb72d18247a410b5f5d,59130.19,60000.0,1.02537065,30APR21,0,0.0795,74.96,2021-04-01 06:27:34.993,1.01,BTC-30APR21-60000-P,29,2021-04-30,1617251254993,61125.92,4569.16252
23,60654bb92d18247a410b5f62,59134.22,60000.0,1.02537065,25JUN21,0,0.2329,78.89,2021-04-01 06:27:36.670,1.01,BTC-25JUN21-60000-P,85,2021-06-25,1617251256670,63346.11,7712.3888925
26,60654bb92d18247a410b5f63,59131.72,50000.0,1.02537065,30APR21,1,0.0795,78.46,2021-04-01 06:27:37.677,0.85,BTC-30APR21-50000-C,29,2021-04-30,1617251257677,61133.09,12364.167452499998
27,60654bba2d18247a410b5f65,59131.72,76000.0,1.02537065,30APR21,0,0.0795,85.08,2021-04-01 06:27:37.680,1.29,BTC-30APR21-76000-P,29,2021-04-30,1617251257680,61133.09,0.0
29,60654bbb2d18247a410b5f67,59132.17,48000.0,1.02537065,30APR21,0,0.0795,81.31,2021-04-01 06:27:38.684,0.81,BTC-30APR21-48000-P,29,2021-04-30,1617251258684,61130.77,932.2442424999999
31,60654bba2d18247a410b5f66,59132.17,55000.0,1.02537065,28MAY21,0,0.1562,75.27,2021-04-01 06:27:38.799,0.93,BTC-28MAY21-55000-P,57,2021-05-28,1617251258799,62237.7,3889.85625
32,60654bbc2d18247a410b5f69,59131.54,65000.0,1.02537065,16APR21,1,0.0411,77.91,2021-04-01 06:27:39.691,1.1,BTC-16APR21-65000-C,15,2021-04-16,1617251259691,60355.46,2052.0856400000002
