,_id,index_price,strike,interest_rate,maturity,is_call,tau,mark_iv,date,moneyness,instrument_name,days_to_maturity,maturitydate_char,timestamp,underlying_price,instrument_price
34,60654bbd2d18247a410b5f6c,59127.99,66000.0,1.02537065,9APR21,0,0.0219,78.5,2021-04-01 06:27:40.699,1.12,BTC-9APR21-66000-P,8,2021-04-09,1617251260699,59966.57,7495.821249999999
35,60654bbc2d18247a410b5f6b,59127.99,56000.0,1.02537065,2APR21,1,0.0027,74.62,2021-04-01 06:27:40.702,0.95,BTC-2APR21-56000-C,1,2021-04-02,1617251260702,59379.44,3280.7140600000002
37,60654bbd2d18247a410b5f6e,59131.19,62000.0,1.02537065,1APR21,0,0.0,75.17,2021-04-01 06:27:41.705,1.05,BTC-1APR21-62000-P,0,2021-04-01,1617251261705,59160.3,1686.06855
40,60654bbf2d18247a410b5f71,59133.36,53000.0,1.02537065,1APR21,1,0.0,80.6,2021-04-01 06:27:42.713,0.9,BTC-1APR21-53000-C,0,2021-04-01,1617251262713,59163.47,0.0
45,60654bc12d18247a410b5f77,59133.98,60000.0,1.02537065,9APR21,1,0.0219,71.79,2021-04-01 06:27:44.728,1.01,BTC-9APR21-60000-C,8,2021-04-09,1617251264728,59966.38,2548.5711499999998
46,60654bc12d18247a410b5f76,59133.98,55000.0,1.02537065,9APR21,1,0.0219,72.99,2021-04-01 06:27:44.731,0.93,BTC-9APR21-55000-C,8,2021-04-09,1617251264731,59966.38,5771.764075
54,60654bc52d18247a410b5f81,59129.72,58000.0,1.02537065,2APR21,1,0.0027,65.25,2021-04-01 06:27:48.756,0.98,BTC-2APR21-58000-C,1,2021-04-02,1617251268756,59380.08,1707.1772999999998
57,60654bc62d18247a410b5f83,59132.77,65000.0,1.02537065,16APR21,0,0.0411,77.91,2021-04-01 06:27:49.763,1.1,BTC-16APR21-65000-P,15,2021-04-16,1617251269763,60349.91,6653.5775775
59,60654bc62d18247a410b5f84,59133.5,64000.0,1.02537065,9APR21,1,0.0219,76.78,2021-04-01 06:27:50.770,1.08,BTC-9APR21-64000-C,8,2021-04-09,1617251270770,59964.6,1244.2654499999999
60,60654bc72d18247a410b5f85,59133.5,58000.0,1.02537065,2APR21,0,0.0027,65.25,2021-04-01 06:27:51.102,0.98,BTC-2APR21-58000-P,1,2021-04-02,1617251271102,59383.24,341.45363
66,60654bca2d18247a410b5f8d,59130.31,64000.0,1.02537065,16APR21,1,0.0411,77.08,2021-04-01 06:27:53.791,1.08,BTC-16APR21-64000-C,15,2021-04-16,1617251273791,60351.93,2308.4613225
68,60654bc92d18247a410b5f8b,59130.31,58000.0,1.02537065,1APR21,0,0.0,78.73,2021-04-01 06:27:53.795,0.98,BTC-1APR21-58000-P,0,2021-04-01,1617251273795,59164.89,44.373667499999996
70,60654bcb2d18247a410b5f8f,59129.8,62000.0,1.02537065,9APR21,0,0.0219,74.72,2021-04-01 06:27:54.824,1.05,BTC-9APR21-62000-P,8,2021-04-09,1617251274824,59960.99,3822.5131125
71,60654bcb2d18247a410b5f90,59132.66,56000.0,1.02537065,16APR21,1,0.0411,71.51,2021-04-01 06:27:55.805,0.95,BTC-16APR21-56000-C,15,2021-04-16,1617251275805,60348.4,6095.188400000001
76,60654bce2d18247a410b5f97,59133.39,60000.0,1.02537065,25JUN21,1,0.2329,78.88,2021-04-01 06:27:57.819,1.01,BTC-25JUN21-60000-C,85,2021-06-25,1617251277819,63341.98,11100.681994999999
79,60654bcf2d18247a410b5f98,59132.5,48000.0,1.02537065,25JUN21,1,0.2329,80.79,2021-04-01 06:27:58.826,0.81,BTC-25JUN21-48000-C,85,2021-06-25,1617251278826,63341.81,18384.9603525
86,60654bd12d18247a410b5f9f,59121.77,62000.0,1.02537065,1APR21,1,0.0,75.19,2021-04-01 06:28:01.849,1.05,BTC-1APR21-62000-C,0,2021-04-01,1617251281849,59160.21,14.7900525
87,60654bd22d18247a410b5fa1,59121.77,48000.0,1.02537065,2APR21,0,0.0027,98.63,2021-04-01 06:28:01.853,0.81,BTC-2APR21-48000-P,1,2021-04-02,1617251281853,59369.25,14.8423125
92,60654bd42d18247a410b5fa5,59123.13,75000.0,1.02537065,16APR21,0,0.0411,87.75,2021-04-01 06:28:03.861,1.27,BTC-16APR21-75000-P,15,2021-04-16,1617251283861,60340.47,9051.0705
97,60654bd62d18247a410b5faa,59123.81,56000.0,1.02537065,2APR21,0,0.0027,74.61,2021-04-01 06:28:05.875,0.95,BTC-2APR21-56000-P,1,2021-04-02,1617251285875,59366.56,89.04984
102,60654e0d3e4c282f6345221a,59114.29,56000.0,1.02537065,16APR21,0,0.0411,71.17,2021-04-01 06:37:32.874,0.95,BTC-16APR21-56000-P,15,2021-04-16,1617251852874,60308.38,1613.249165
103,60654e0e3e4c282f6345221b,59110.2,70000.0,1.02537065,2APR21,1,0.0027,101.36,2021-04-01 06:37:33.880,1.18,BTC-2APR21-70000-C,1,2021-04-02,1617251853880,59359.95,29.679975
108,60654f043e4c282f63452220,59110.29,68000.0,1.02537065,25JUN21,0,0.2329,81.11,2021-04-01 06:37:35.896,1.15,BTC-25JUN21-68000-P,85,2021-06-25,1617251855896,63317.0,12679.22925
109,60654edf6e3f6fcdaced93d1,59103.73,56000.0,1.02537065,16APR21,0,0.0411,71.04,2021-04-01 06:41:02.334,0.95,BTC-16APR21-56000-P,15,2021-04-16,1617252062334,60303.65,1628.19855
111,60654edf6e3f6fcdaced93d2,59101.02,70000.0,1.02537065,2APR21,1,0.0027,101.51,2021-04-01 06:41:03.344,1.18,BTC-2APR21-70000-C,1,2021-04-02,1617252063344,59346.33,29.673165
115,60654ee16e3f6fcdaced93d7,59100.93,68000.0,1.02537065,25JUN21,0,0.2329,81.12,2021-04-01 06:41:05.359,1.15,BTC-25JUN21-68000-P,85,2021-06-25,1617252065359,63310.97,12678.021742500001
119,60654ee26e3f6fcdaced93da,59098.6,48000.0,1.02537065,31DEC21,0,0.7507,80.9,2021-04-01 06:41:06.367,0.81,BTC-31DEC21-48000-P,274,2021-12-31,1617252066367,70088.43,7289.19672
121,60654ee36e3f6fcdaced93dc,59097.39,46000.0,1.02537065,16APR21,1,0.0411,93.05,2021-04-01 06:41:07.374,0.78,BTC-16APR21-46000-C,15,2021-04-16,1617252067374,60297.71,14833.23666
122,60654ee46e3f6fcdaced93de,59096.73,56000.0,1.02537065,9APR21,0,0.0219,71.52,2021-04-01 06:41:08.376,0.95,BTC-9APR21-56000-P,8,2021-04-09,1617252068376,59884.16,988.08864
125,60654ee56e3f6fcdaced93e1,59091.98,56000.0,1.02537065,9APR21,1,0.0219,71.52,2021-04-01 06:41:09.383,0.95,BTC-9APR21-56000-C,8,2021-04-09,1617252069383,59883.92,4895.5104599999995
127,60654ee66e3f6fcdaced93e3,59085.77,50000.0,1.02537065,25JUN21,1,0.2329,79.79,2021-04-01 06:41:10.405,0.85,BTC-25JUN21-50000-C,85,2021-06-25,1617252070405,63293.02,16883.413085
132,60654ee86e3f6fcdaced93e9,59082.79,64000.0,1.02537065,24SEP21,0,0.4822,82.11,2021-04-01 06:41:12.414,1.08,BTC-24SEP21-64000-P,176,2021-09-24,1617252072414,67013.06,13218.326085
134,60654ee96e3f6fcdaced93ea,59082.79,60000.0,1.02537065,25JUN21,0,0.2329,78.9,2021-04-01 06:41:12.587,1.02,BTC-25JUN21-60000-P,85,2021-06-25,1617252072587,63288.86,7737.063135
135,60654ee96e3f6fcdaced93eb,59082.6,50000.0,1.02537065,30APR21,1,0.0795,78.38,2021-04-01 06:41:13.419,0.85,BTC-30APR21-50000-C,29,2021-04-30,1617252073419,61106.26,12282.35826
137,60654eeb6e3f6fcdaced93ef,59083.71,48000.0,1.02537065,30APR21,0,0.0795,81.28,2021-04-01 06:41:14.426,0.81,BTC-30APR21-48000-P,29,2021-04-30,1617252074426,61106.33,931.8715325000001
139,60654eea6e3f6fcdaced93ee,59083.71,55000.0,1.02537065,28MAY21,0,0.1562,75.26,2021-04-01 06:41:14.810,0.93,BTC-28MAY21-55000-P,57,2021-05-28,1617252074810,62197.33,3902.8824575
141,60654eec6e3f6fcdaced93f1,59091.4,65000.0,1.02537065,16APR21,1,0.0411,77.76,2021-04-01 06:41:16.110,1.1,BTC-16APR21-65000-C,15,2021-04-16,1617252076110,60294.34,2034.9339750000001
142,60654eed6e3f6fcdaced93f5,59090.77,48000.0,1.02537065,30APR21,1,0.0795,81.28,2021-04-01 06:41:16.439,0.81,BTC-30APR21-48000-C,29,2021-04-30,1617252076439,61114.95,13842.536175
145,60654eec6e3f6fcdaced93f3,59090.77,56000.0,1.02537065,2APR21,1,0.0027,74.22,2021-04-01 06:41:16.443,0.95,BTC-2APR21-56000-C,1,2021-04-02,1617252076443,59329.91,3277.9775275
147,60654eee6e3f6fcdaced93f8,59089.86,57000.0,1.02537065,1APR21,1,0.0,78.72,2021-04-01 06:41:18.453,0.96,BTC-1APR21-57000-C,0,2021-04-01,1617252078453,59119.91,1359.75793
150,60654eef6e3f6fcdaced93fa,59088.56,55000.0,1.02537065,1APR21,0,0.0,79.64,2021-04-01 06:41:19.460,0.93,BTC-1APR21-55000-P,0,2021-04-01,1617252079460,59119.07,14.7797675
154,60654ef16e3f6fcdaced93fe,59088.56,55000.0,1.02537065,9APR21,1,0.0219,72.69,2021-04-01 06:41:20.955,0.93,BTC-9APR21-55000-C,8,2021-04-09,1617252080955,59882.31,5673.8488725
155,60654ef26e3f6fcdaced9400,59091.53,61000.0,1.02537065,1APR21,0,0.0,77.37,2021-04-01 06:41:21.478,1.03,BTC-1APR21-61000-P,0,2021-04-01,1617252081478,59117.91,1315.3734975
160,60654ef36e3f6fcdaced9404,59089.91,54000.0,1.02537065,9APR21,0,0.0219,74.72,2021-04-01 06:41:23.490,0.91,BTC-9APR21-54000-P,8,2021-04-09,1617252083490,59886.82,598.8682000000001
164,60654ef56e3f6fcdaced9407,59089.91,66000.0,1.02537065,9APR21,1,0.0219,78.7,2021-04-01 06:41:24.890,1.12,BTC-9APR21-66000-C,8,2021-04-09,1617252084890,59885.4,853.36695
165,60654ef56e3f6fcdaced9409,59086.21,58000.0,1.02537065,2APR21,1,0.0027,65.28,2021-04-01 06:41:25.502,0.98,BTC-2APR21-58000-C,1,2021-04-02,1617252085502,59332.94,1676.1555549999998
166,60654ef66e3f6fcdaced940a,59086.21,44000.0,1.02537065,25JUN21,0,0.2329,83.83,2021-04-01 06:41:26.203,0.74,BTC-25JUN21-44000-P,85,2021-06-25,1617252086203,63294.1,2136.175875
167,60654ef66e3f6fcdaced940b,59088.42,65000.0,1.02537065,16APR21,0,0.0411,77.76,2021-04-01 06:41:26.509,1.1,BTC-16APR21-65000-P,15,2021-04-16,1617252086509,60291.03,6632.0133000000005
168,60654ef76e3f6fcdaced940c,59088.42,64000.0,1.02537065,9APR21,1,0.0219,76.73,2021-04-01 06:41:26.514,1.08,BTC-9APR21-64000-C,8,2021-04-09,1617252086514,59882.51,1227.5914550000002
169,60654ef76e3f6fcdaced940d,59088.59,58000.0,1.02537065,2APR21,0,0.0027,65.27,2021-04-01 06:41:27.516,0.98,BTC-2APR21-58000-P,1,2021-04-02,1617252087516,59330.34,341.149455
177,60654efa6e3f6fcdaced9415,59085.39,64000.0,1.02537065,16APR21,1,0.0411,76.94,2021-04-01 06:41:30.538,1.08,BTC-16APR21-64000-C,15,2021-04-16,1617252090538,60291.74,2291.08612
179,60654efc6e3f6fcdaced9418,59084.75,56000.0,1.02537065,16APR21,1,0.0411,71.05,2021-04-01 06:41:31.545,0.95,BTC-16APR21-56000-C,15,2021-04-16,1617252091545,60291.34,6014.061164999999
184,60654efd6e3f6fcdaced941c,59084.34,53000.0,1.02537065,1APR21,0,0.0,80.26,2021-04-01 06:41:33.559,0.9,BTC-1APR21-53000-P,0,2021-04-01,1617252093559,59113.52,14.77838
189,60654eff6e3f6fcdaced9421,59083.82,52000.0,1.02537065,16APR21,1,0.0411,76.03,2021-04-01 06:41:35.573,0.88,BTC-16APR21-52000-C,15,2021-04-16,1617252095573,60291.47,9119.084837499999
194,60654f016e3f6fcdaced9426,59084.1,42000.0,1.02537065,2APR21,1,0.0027,98.97,2021-04-01 06:41:37.587,0.71,BTC-2APR21-42000-C,1,2021-04-02,1617252097587,59322.57,17574.3113625
197,60654f026e3f6fcdaced9429,59084.19,48000.0,1.02537065,2APR21,0,0.0027,98.7,2021-04-01 06:41:38.595,0.81,BTC-2APR21-48000-P,1,2021-04-02,1617252098595,59323.34,14.830834999999999
200,60654f046e3f6fcdaced942d,59086.84,75000.0,1.02537065,16APR21,0,0.0411,87.5,2021-04-01 06:41:39.601,1.27,BTC-16APR21-75000-P,15,2021-04-16,1617252099601,60292.58,9043.887
211,60654f066e3f6fcdaced9432,59087.06,56000.0,1.02537065,2APR21,0,0.0027,74.2,2021-04-01 06:41:41.619,0.95,BTC-2APR21-56000-P,1,2021-04-02,1617252101619,59325.73,88.988595
229,60654f0a3e4c282f6345222e,59086.74,60000.0,1.02537065,30APR21,0,0.0795,75.01,2021-04-01 06:41:45.643,1.02,BTC-30APR21-60000-P,29,2021-04-30,1617252105643,61109.27,4583.19525
233,60654f0a6e3f6fcdaced943e,59087.37,44000.0,1.02537065,30APR21,1,0.0795,88.98,2021-04-01 06:41:46.650,0.74,BTC-30APR21-44000-C,29,2021-04-30,1617252106650,61108.65,17675.6770125
239,60654f0b6e3f6fcdaced9441,59087.32,48000.0,1.02537065,24SEP21,0,0.4822,81.07,2021-04-01 06:41:47.657,0.81,BTC-24SEP21-48000-P,176,2021-09-24,1617252107657,67018.25,5327.950875
243,60654f0c6e3f6fcdaced9443,59086.09,62000.0,1.02537065,9APR21,1,0.0219,74.76,2021-04-01 06:41:48.664,1.05,BTC-9APR21-62000-C,8,2021-04-09,1617252108664,59889.3,1781.7066750000001
249,60654f0d3e4c282f63452238,59086.01,48000.0,1.02537065,30APR21,0,0.0795,81.28,2021-04-01 06:41:49.671,0.81,BTC-30APR21-48000-P,29,2021-04-30,1617252109671,61107.86,931.894865
253,60654f0e3e4c282f6345223a,59085.0,65000.0,1.02537065,16APR21,1,0.0411,77.76,2021-04-01 06:41:50.678,1.1,BTC-16APR21-65000-C,15,2021-04-16,1617252110678,60294.75,2034.9478125
259,60654f103e4c282f6345223e,59084.88,48000.0,1.02537065,30APR21,1,0.0795,81.28,2021-04-01 06:41:51.686,0.81,BTC-30APR21-48000-C,29,2021-04-30,1617252111686,61106.86,13840.70379
267,60654f113e4c282f63452241,59086.87,57000.0,1.02537065,1APR21,1,0.0,78.68,2021-04-01 06:41:53.699,0.96,BTC-1APR21-57000-C,0,2021-04-01,1617252113699,59113.55,1359.61165
277,60654f146e3f6fcdaced9455,59087.34,52000.0,1.02537065,16APR21,0,0.0411,76.05,2021-04-01 06:41:55.713,0.88,BTC-16APR21-52000-P,15,2021-04-16,1617252115713,60296.1,798.923325
283,60655a5a9af68109ad3b1270,58879.07,56000.0,1.02537065,16APR21,0,0.0411,68.86,2021-04-01 07:30:01.731,0.95,BTC-16APR21-56000-P,15,2021-04-16,1617255001731,60008.25,1605.2206875
284,60655a5a9af68109ad3b1271,58879.07,70000.0,1.02537065,2APR21,1,0.0027,107.38,2021-04-01 07:30:02.544,1.19,BTC-2APR21-70000-C,1,2021-04-02,1617255002544,59085.91,14.771477500000001
288,60655a5c9af68109ad3b1275,58878.91,72000.0,1.02537065,2APR21,0,0.0027,107.38,2021-04-01 07:30:03.749,1.22,BTC-2APR21-72000-P,1,2021-04-02,1617255003749,59085.97,0.0
290,60655a5c9af68109ad3b1276,58878.39,68000.0,1.02537065,25JUN21,0,0.2329,80.88,2021-04-01 07:30:04.754,1.15,BTC-25JUN21-68000-P,85,2021-06-25,1617255004754,62876.1,12842.443425000001
292,60655a5e9af68109ad3b1279,58877.68,48000.0,1.02537065,31DEC21,0,0.7507,80.68,2021-04-01 07:30:05.761,0.82,BTC-31DEC21-48000-P,274,2021-12-31,1617255005761,69598.75,7360.0678124999995
295,60655a5f9af68109ad3b127b,58878.44,46000.0,1.02537065,16APR21,1,0.0411,90.73,2021-04-01 07:30:06.768,0.78,BTC-16APR21-46000-C,15,2021-04-16,1617255006768,60006.94,14551.68295
299,60655a619af68109ad3b1280,58881.11,56000.0,1.02537065,9APR21,1,0.0219,69.19,2021-04-01 07:30:08.786,0.95,BTC-9APR21-56000-C,8,2021-04-09,1617255008786,59616.15,4590.44355
301,60655a629af68109ad3b1284,58883.09,60000.0,1.02537065,30APR21,0,0.0795,73.79,2021-04-01 07:30:09.785,1.02,BTC-30APR21-60000-P,29,2021-04-30,1617255009785,60799.07,4575.1300175
306,60655a659af68109ad3b128a,58884.98,50000.0,1.02537065,30APR21,1,0.0795,75.25,2021-04-01 07:30:11.799,0.85,BTC-30APR21-50000-C,29,2021-04-30,1617255011799,60801.69,11962.7325075
309,60655a649af68109ad3b1288,58884.98,64000.0,1.02537065,24SEP21,0,0.4822,81.74,2021-04-01 07:30:11.802,1.09,BTC-24SEP21-64000-P,176,2021-09-24,1617255011802,66636.8,13260.7232
313,60655a679af68109ad3b1290,58883.14,65000.0,1.02537065,16APR21,1,0.0411,76.8,2021-04-01 07:30:14.820,1.1,BTC-16APR21-65000-C,15,2021-04-16,1617255014820,60014.05,1890.442575
316,60655a689af68109ad3b1292,58883.64,56000.0,1.02537065,2APR21,1,0.0027,69.94,2021-04-01 07:30:15.831,0.95,BTC-2APR21-56000-C,1,2021-04-02,1617255015831,59089.83,3161.305905
318,60655a689af68109ad3b1293,58885.65,66000.0,1.02537065,9APR21,0,0.0219,75.72,2021-04-01 07:30:16.834,1.12,BTC-9APR21-66000-P,8,2021-04-09,1617255016834,59618.69,7452.33625
323,60655a6b9af68109ad3b1298,58883.28,53000.0,1.02537065,1APR21,1,0.0,77.52,2021-04-01 07:30:18.848,0.9,BTC-1APR21-53000-C,0,2021-04-01,1617255018848,58903.82,0.0
328,60655a6d9af68109ad3b129e,58884.05,60000.0,1.02537065,9APR21,1,0.0219,70.28,2021-04-01 07:30:20.862,1.02,BTC-9APR21-60000-C,8,2021-04-09,1617255020862,59619.1,2310.2401250000003
337,60655a719af68109ad3b12a7,58882.14,54000.0,1.02537065,2APR21,1,0.0027,91.13,2021-04-01 07:30:24.891,0.92,BTC-2APR21-54000-C,1,2021-04-02,1617255024891,59088.43,5096.3770875
340,60655a729af68109ad3b12aa,58883.01,65000.0,1.02537065,16APR21,0,0.0411,76.8,2021-04-01 07:30:25.900,1.1,BTC-16APR21-65000-P,15,2021-04-16,1617255025900,60011.4,6706.273950000001
341,60655a729af68109ad3b12a9,58883.01,44000.0,1.02537065,25JUN21,0,0.2329,82.72,2021-04-01 07:30:25.907,0.75,BTC-25JUN21-44000-P,85,2021-06-25,1617255025907,62880.31,2090.7703075
343,60655a739af68109ad3b12ab,58883.0,64000.0,1.02537065,9APR21,1,0.0219,74.68,2021-04-01 07:30:26.908,1.09,BTC-9APR21-64000-C,8,2021-04-09,1617255026908,59618.43,1073.13174
346,60655a739af68109ad3b12ac,58883.0,58000.0,1.02537065,2APR21,0,0.0027,65.0,2021-04-01 07:30:27.187,0.99,BTC-2APR21-58000-P,1,2021-04-02,1617255027187,59087.95,354.5277
347,60655a759af68109ad3b12b2,58882.16,58000.0,1.02537065,1APR21,0,0.0,74.42,2021-04-01 07:30:28.919,0.99,BTC-1APR21-58000-P,0,2021-04-01,1617255028919,58902.27,44.176702500000005
350,60655a769af68109ad3b12b4,58881.13,64000.0,1.02537065,16APR21,1,0.0411,75.94,2021-04-01 07:30:29.926,1.09,BTC-16APR21-64000-C,15,2021-04-16,1617255029926,60011.68,2145.41756
351,60655a769af68109ad3b12b3,58881.13,64000.0,1.02537065,2APR21,0,0.0027,89.63,2021-04-01 07:30:29.930,1.09,BTC-2APR21-64000-P,1,2021-04-02,1617255029930,59086.05,29.543025000000004
353,60655a779af68109ad3b12b6,58881.27,62000.0,1.02537065,9APR21,0,0.0219,72.99,2021-04-01 07:30:30.937,1.05,BTC-9APR21-62000-P,8,2021-04-09,1617255030937,59616.97,4009.2412325000005
354,60655a789af68109ad3b12b7,58882.79,56000.0,1.02537065,16APR21,1,0.0411,68.85,2021-04-01 07:30:31.940,0.95,BTC-16APR21-56000-C,15,2021-04-16,1617255031940,60011.1,5746.062825
357,60655a799af68109ad3b12bb,58882.86,53000.0,1.02537065,1APR21,0,0.0,77.51,2021-04-01 07:30:32.947,0.9,BTC-1APR21-53000-P,0,2021-04-01,1617255032947,58902.07,14.7255175
361,60655a7a9af68109ad3b12be,58884.04,60000.0,1.02537065,25JUN21,1,0.2329,78.47,2021-04-01 07:30:34.961,1.02,BTC-25JUN21-60000-C,85,2021-06-25,1617255034961,62880.58,10752.57918
364,60655a7c9af68109ad3b12c2,58883.71,72000.0,1.02537065,25JUN21,0,0.2329,82.3,2021-04-01 07:30:35.969,1.22,BTC-25JUN21-72000-P,85,2021-06-25,1617255035969,62881.53,13220.841682499999
368,60655a7e9af68109ad3b12c6,58881.87,62000.0,1.02537065,1APR21,1,0.0,71.6,2021-04-01 07:30:37.982,1.05,BTC-1APR21-62000-C,0,2021-04-01,1617255037982,58901.3,14.725325000000002
371,60655a7f9af68109ad3b12c8,58882.01,48000.0,1.02537065,2APR21,0,0.0027,104.56,2021-04-01 07:30:38.989,0.82,BTC-2APR21-48000-P,1,2021-04-02,1617255038989,59086.81,14.7717025
373,60655a809af68109ad3b12cb,58881.72,50000.0,1.02537065,28MAY21,1,0.1562,75.86,2021-04-01 07:30:39.996,0.85,BTC-28MAY21-50000-C,57,2021-05-28,1617255039996,61840.97,14347.10504
383,60655a849af68109ad3b12d4,58884.54,56000.0,1.02537065,30APR21,0,0.0795,71.97,2021-04-01 07:30:44.024,0.95,BTC-30APR21-56000-P,29,2021-04-30,1617255044024,60802.78,2705.7237099999998
386,60655a859af68109ad3b12d7,58884.52,44000.0,1.02537065,2APR21,0,0.0027,104.64,2021-04-01 07:30:45.032,0.75,BTC-2APR21-44000-P,1,2021-04-02,1617255045032,59089.05,14.772262500000002
395,60655a889af68109ad3b12de,58885.43,56000.0,1.02537065,25JUN21,0,0.2329,78.06,2021-04-01 07:30:48.059,0.95,BTC-25JUN21-56000-P,85,2021-06-25,1617255048059,62892.76,5849.026680000001
397,60655a899af68109ad3b12e2,58884.68,62000.0,1.02537065,9APR21,1,0.0219,72.99,2021-04-01 07:30:49.064,1.05,BTC-9APR21-62000-C,8,2021-04-09,1617255049064,59621.17,1609.7715899999998
400,60655a8a9af68109ad3b12e5,58886.0,66000.0,1.02537065,2APR21,0,0.0027,107.3,2021-04-01 07:30:50.071,1.12,BTC-2APR21-66000-P,1,2021-04-02,1617255050071,59090.01,18258.813090000003
401,60655a8b9af68109ad3b12e6,58888.42,48000.0,1.02537065,16APR21,1,0.0411,85.09,2021-04-01 07:30:51.073,0.82,BTC-16APR21-48000-C,15,2021-04-16,1617255051073,60015.25,12678.2215625
403,60655a8d9af68109ad3b12eb,58888.94,66000.0,1.02537065,1APR21,1,0.0,75.57,2021-04-01 07:30:52.080,1.12,BTC-1APR21-66000-C,0,2021-04-01,1617255052080,58907.52,14.72688
412,60655a8f9af68109ad3b12f0,58888.94,64000.0,1.02537065,25JUN21,0,0.2329,79.51,2021-04-01 07:30:53.666,1.09,BTC-25JUN21-64000-P,85,2021-06-25,1617255053666,62897.78,10126.542580000001
417,60655a919af68109ad3b12f6,58889.17,58000.0,1.02537065,16APR21,0,0.0411,68.76,2021-04-01 07:30:57.120,0.98,BTC-16APR21-58000-P,15,2021-04-16,1617255057120,60016.13,2385.6411675
418,60655a929af68109ad3b12f8,58889.31,76000.0,1.02537065,25JUN21,0,0.2329,83.62,2021-04-01 07:30:58.123,1.29,BTC-25JUN21-76000-P,85,2021-06-25,1617255058123,62898.9,6541.4856
421,60655a939af68109ad3b12fb,58889.87,72000.0,1.02537065,24SEP21,0,0.4822,83.09,2021-04-01 07:30:59.130,1.22,BTC-24SEP21-72000-P,176,2021-09-24,1617255059130,66634.49,18507.7295975
430,60655a979af68109ad3b1303,58889.13,59000.0,1.02537065,1APR21,0,0.0,72.61,2021-04-01 07:31:03.157,1.0,BTC-1APR21-59000-P,0,2021-04-01,1617255063157,58908.5,294.5425
435,60655a999af68109ad3b1309,58889.52,65000.0,1.02537065,1APR21,1,0.0,74.32,2021-04-01 07:31:05.172,1.1,BTC-1APR21-65000-C,0,2021-04-01,1617255065172,58908.93,14.7272325
437,60655a9b9af68109ad3b130c,58890.12,72000.0,1.02537065,30APR21,0,0.0795,81.35,2021-04-01 07:31:06.178,1.22,BTC-30APR21-72000-P,29,2021-04-30,1617255066178,60803.84,0.0
442,60655a9d9af68109ad3b1311,58888.89,46000.0,1.02537065,2APR21,1,0.0027,104.75,2021-04-01 07:31:08.194,0.78,BTC-2APR21-46000-C,1,2021-04-02,1617255068194,59088.71,13354.04846
